timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1707797726595,1703,HTTP Request,200,OK,TG1 1-3,text,true,,64838,119,11,11,https://www.foodpanda.com/,1680,0,709
1707797726990,1595,HTTP Request,200,OK,TG1 1-5,text,true,,64838,119,12,12,https://www.foodpanda.com/,1568,0,315
1707797726351,2507,HTTP Request,200,OK,TG1 1-1,text,true,,64838,119,14,14,https://www.foodpanda.com/,2496,0,955
1707797727592,1578,HTTP Request,200,OK,TG1 1-8,text,true,,64838,119,15,15,https://www.foodpanda.com/,1559,0,179
1707797727994,1415,HTTP Request,200,OK,TG1 1-10,text,true,,64838,119,15,15,https://www.foodpanda.com/,1406,0,83
1707797727391,2323,HTTP Request,200,OK,TG1 1-7,text,true,,64846,119,15,15,https://www.foodpanda.com/,2312,0,228
1707797726395,3691,HTTP Request,200,OK,TG1 1-2,text,true,,64838,119,15,15,https://www.foodpanda.com/,3680,0,911
1707797729171,1195,HTTP Request,200,OK,TG1 1-8,text,true,,64838,119,15,15,https://www.foodpanda.com/,1187,0,0
1707797728859,1793,HTTP Request,200,OK,TG1 1-1,text,true,,64838,119,14,14,https://www.foodpanda.com/,1782,0,0
1707797726786,4148,HTTP Request,200,OK,TG1 1-4,text,true,,64838,119,13,13,https://www.foodpanda.com/,4141,0,520
1707797728586,2663,HTTP Request,200,OK,TG1 1-5,text,true,,64838,119,13,13,https://www.foodpanda.com/,2652,0,0
1707797729715,1827,HTTP Request,200,OK,TG1 1-7,text,true,,64838,119,12,12,https://www.foodpanda.com/,1818,0,0
1707797728986,2804,HTTP Request,200,OK,TG1 1-15,text,true,,64838,119,11,11,https://www.foodpanda.com/,2790,0,199
1707797728190,3852,HTTP Request,200,OK,TG1 1-11,text,true,,64838,119,11,11,https://www.foodpanda.com/,3845,0,99
1707797730093,2203,HTTP Request,200,OK,TG1 1-2,text,true,,64838,119,11,11,https://www.foodpanda.com/,2191,0,0
1707797730935,1753,HTTP Request,200,OK,TG1 1-4,text,true,,64838,119,10,10,https://www.foodpanda.com/,1744,0,0
1707797727287,5997,HTTP Request,200,OK,TG1 1-6,text,true,,64838,119,9,9,https://www.foodpanda.com/,5727,0,237
1707797727793,5515,HTTP Request,200,OK,TG1 1-9,text,true,,64838,119,9,9,https://www.foodpanda.com/,5508,0,116
1707797728787,4803,HTTP Request,200,OK,TG1 1-14,text,true,,64838,119,9,9,https://www.foodpanda.com/,4792,0,169
1707797731792,2345,HTTP Request,200,OK,TG1 1-15,text,true,,64838,119,9,9,https://www.foodpanda.com/,2064,0,0
1707797729411,4979,HTTP Request,200,OK,TG1 1-10,text,true,,64846,119,8,8,https://www.foodpanda.com/,4742,0,0
1707797728589,5833,HTTP Request,200,OK,TG1 1-13,text,true,,64838,119,7,7,https://www.foodpanda.com/,5825,0,156
1707797733592,1120,HTTP Request,200,OK,TG1 1-14,text,true,,64838,119,7,7,https://www.foodpanda.com/,1113,0,0
1707797728301,6689,HTTP Request,200,OK,TG1 1-3,text,true,,64838,119,6,6,https://www.foodpanda.com/,6681,0,0
1707797732044,3212,HTTP Request,200,OK,TG1 1-11,text,true,,64838,119,5,5,https://www.foodpanda.com/,3206,0,0
1707797733309,2234,HTTP Request,200,OK,TG1 1-9,text,true,,64838,119,4,4,https://www.foodpanda.com/,2230,0,0
1707797728390,7462,HTTP Request,200,OK,TG1 1-12,text,true,,64838,119,3,3,https://www.foodpanda.com/,7459,0,158
1707797734423,2001,HTTP Request,200,OK,TG1 1-13,text,true,,64838,119,3,3,https://www.foodpanda.com/,1724,0,0
1707797733286,3168,HTTP Request,200,OK,TG1 1-6,text,true,,64838,119,2,2,https://www.foodpanda.com/,3159,0,0
1707797735853,890,HTTP Request,200,OK,TG1 1-12,text,true,,64838,119,1,1,https://www.foodpanda.com/,878,0,0
